Subject_ID,max,min,median,mean,var,rms,diff1_mean,diff2_mean,diff1_std,diff2_std,freq0,freq1,freq2,freq3,freq4,freq5,freq6,freq7
20250408-00999099,15.6,-17.9,-8.782016517716402,-7.823817194758022,65.58668301082932,11.260497258461571,-0.0716283877143325,-0.0006825739642387,0.4370792209283517,0.1215589632238784,3074.477775404875,277.0490711189468,32.18447374990928,5.984278531713808,1.0157748069234094,0.813604209556756,0.4454758934078232,0.1428073617175198
20250408-01105283,22.2,14.4,18.23086844640425,17.949255599051856,5.261272911103853,18.09522173036844,-0.0113621406656022,-6.104298605436043e-07,0.0794629613032725,0.0528054780158433,151.2078683337944,7.053804837426736,0.4119022885421815,0.1852731858963634,0.1655859008455254,0.1428681482941035,0.0984679175770655,0.0839003342054195
20250408-03118448,3.6,-14.4,-1.5732191090883736,-2.82501924761969,23.30395196469893,5.593271467944376,0.0422298600490847,0.0001663119935735,0.2116746113800941,0.098596486586524,1087.3763417730868,115.17844386597534,9.611781268254113,3.495490644313061,2.957359373659893,0.5507253118830597,1.0526244810127294,0.2954632675496076
20250408-05822690,-41.4,-114.3,-81.61748265321266,-81.504768053255,12.07551721270496,81.57881301310778,0.015543752982936,-0.0016978955768977,0.4229893137511169,0.3514951972457796,539.4514113520494,222.9631482832812,44.88784482348599,0.0862423855689786,0.8612264939124332,1.480192079994514,0.2282566847713829,0.2664057391942472
20250408-2400092931,13.8,-1.8,7.3358349272927,6.837480468448573,9.285551002752197,7.485765836517192,0.0188059684304281,0.0019767799429123,0.5908436935492718,0.2803623994881095,457.3839619092823,104.81241492694248,59.79482711656991,55.0498388317584,6.430118493341446,10.009051119186989,4.78353147299706,0.5554308130636704
20250408-2400278857,17.6,0.0,13.483504961670976,11.69249431118771,24.39180436574884,12.692762803381532,0.0376285801068734,0.0001460767690309,0.3543260011032253,0.2007864324830619,867.6433509271824,123.76097460561328,29.274925993165212,5.475104548991849,3.7427882912777513,1.1786048021863125,0.703387475155037,0.0602403510529971
20250408-2400338971,-2.5,-12.6,-6.874251995670708,-6.934946424020052,5.944308598151604,7.35104009662443,0.0233546049210627,0.0008092296628262,0.2226959829143043,0.1124517328267552,141.5478616001645,23.252415063841177,18.711847740087563,6.58121936177689,3.248710722986521,0.7435569946811875,0.3738430922442073,0.3404042132591377
20250408-2400418077,7.6,-8.1,-1.1947438370897367,-0.8152238929380828,14.69667698013394,3.919345222833919,-0.0251650435514865,-0.0012739948704988,0.4574671696095375,0.2359273842914256,450.8675390555943,98.305894803751,42.38334073703717,19.59470402655308,3.8611282086490135,2.571618745414155,3.268072413539026,0.9527740353706456
20250408-2400872042,0.0,-15.4,-7.191811802667225,-8.423348890798787,19.957265883905787,9.53467736318471,-0.0190373956058072,0.0001011730539724,0.170090127314763,0.0801993099834252,1822.4122990222747,9.622041744466184,2.4635284799444346,4.51674868883385,0.7251939730180345,0.2058479085986821,0.3294783616028925,0.4790224131622567
20250408-2400874426,-9.5,-15.7,-12.409922544226086,-12.458493672899914,1.4924398053955277,12.518246858209928,0.008894453113686,-0.0009550600480463,0.2071722418954885,0.130807519406517,53.63017531480592,27.242685698158056,5.498732917630017,6.615906265651583,8.476973134840096,1.501194715319759,0.5042449123796494,0.6613468799323856
